station_id,phase_time,phase_score,phase_type,dt
C,2017-03-03 14:47:59.898,0.558,S,0.01
C,2017-03-03 14:51:50.228,0.826,S,0.01
C,2017-03-03 14:53:30.458,0.482,S,0.01
C,2017-03-03 14:53:39.358,0.367,S,0.01
C,2017-03-03 15:01:30.538,0.662,S,0.01
C,2017-03-03 15:03:11.518,0.403,S,0.01
C,2017-03-03 15:06:56.698,0.4,S,0.01
C,2017-03-03 15:07:40.368,0.543,S,0.01
C,2017-03-03 15:08:38.418,0.463,S,0.01
C,2017-03-03 15:09:06.738,0.386,S,0.01
C,2017-03-03 15:10:03.758,0.326,S,0.01
C,2017-03-03 15:14:18.298,0.539,S,0.01
C,2017-03-03 15:16:03.798,0.324,S,0.01
C,2017-03-03 15:16:37.938,0.381,S,0.01
C,2017-03-03 15:18:23.488,0.71,S,0.01
C,2017-03-03 15:20:47.518,0.351,S,0.01
C,2017-03-03 15:21:11.418,0.51,S,0.01
C,2017-03-03 15:22:13.078,0.389,S,0.01
C,2017-03-03 15:22:28.378,0.645,S,0.01
C,2017-03-03 15:25:54.938,0.661,S,0.01
C,2017-03-03 15:26:23.338,0.507,S,0.01
C,2017-03-03 15:26:46.878,0.315,S,0.01
C,2017-03-03 15:29:32.438,0.447,S,0.01
C,2017-03-03 15:30:13.938,0.313,S,0.01
C,2017-03-03 15:34:59.118,0.322,S,0.01
C,2017-03-03 15:35:20.298,0.569,S,0.01
C,2017-03-03 15:35:26.578,0.658,S,0.01
C,2017-03-03 15:39:11.098,0.602,S,0.01
C,2017-03-03 15:40:47.118,0.411,S,0.01
C,2017-03-03 15:41:16.058,0.563,S,0.01
C,2017-03-03 15:45:01.838,0.314,S,0.01
C,2017-03-03 15:46:13.698,0.308,S,0.01
C,2017-03-03 15:47:06.568,0.388,S,0.01
C,2017-03-03 15:50:42.898,0.394,S,0.01
C,2017-03-03 15:54:33.878,0.329,S,0.01
C,2017-03-03 15:56:32.858,0.574,S,0.01
C,2017-03-03 15:57:11.318,0.348,S,0.01
C,2017-03-03 15:58:18.778,0.607,S,0.01
C,2017-03-03 16:09:16.338,0.599,S,0.01
C,2017-03-03 16:09:40.278,0.361,S,0.01
C,2017-03-03 16:13:01.898,0.532,S,0.01
